"event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"Observation","BO2-BO3-BO4","BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"Observation","MC2 - McNary Washington Shore Ladder","13","01","WEIR 302","COUNTING WINDOW",120,NA
"Observation","ICH2 - Ice Harbor Dam South Ladder","07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"Observation","LTR - Lower Tucannon River","C4","C4","DWNSTRM RIGHT IN-STREAM ARRAY","DWNSTRM RIGHT IN-STREAM ARRAY",120,NA
"Observation","ORB - Oasis Road Bridge","B4","B4","PASS-THROUGH [DOWNSTREAM] 4","PASS-THROUGH [DOWNSTREAM] 4",130,NA
"Observation","BO1 - Bonneville Bradford Is. Ladder","14","01","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"Observation","MC1 - McNary Oregon Shore Ladder","11","01","WEIR 279","COUNTING WINDOW",100,NA
"Observation","GRA - Lower Granite Dam Adult","14","02","ISO WEST","WEIR 733",140,NA
"Observation","LMJ - Lower Monumental Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
"Observation","GOJ - Little Goose Dam Juvenile","01","F2","FULL FLOW BYPASS","ADULT FISH RETURN",150,NA
"Observation","ICH1 - Ice Harbor Dam North Ladder","10","0A","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",100,NA
"Observation","ICB - Ice Harbor Bypass","A1","A4","FULL FLOW BYPASS","FULL FLOW BYPASS",100,NA
"Observation","JD1 - John Day River, McDonald Ferry","05","02","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","WSH - Warm Springs Hatchery","01","01","ADULT FISHWAY","ADULT FISHWAY",100,NA
"Observation","ACB - Asotin Cr. at Cloverland Brdg.","02","02","5-ANTENNA PARALLEL ARRAY","5-ANTENNA PARALLEL ARRAY",100,NA
"Observation","AFC - No./So. Fk Asotin Cr. Jct. ISA","05","05","MAINSTEM ASOTIN CREEK ARRAY","MAINSTEM ASOTIN CREEK ARRAY",100,NA
"Observation","CCA - Lower Charley Creek ISA","02","01","Downstream Antenna","Upstream Antenna",90,NA
