"event_type_name","event_site_name","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"Observation","BO1 - Bonneville Bradford Is. Ladder","23","01","B-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"Observation","The Dalles Adult Fishways (combined)","02","01","Counting Window","Counting Window",100,NA
"Observation","MC1 - McNary Oregon Shore Ladder","12","04","WEIR 279","WEIR 288",100,NA
"Observation","ICH2 - Ice Harbor Dam South Ladder","07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"Observation","GRA - Lower Granite Dam Adult","08","02","WEIR 730","WEIR 733",140,NA
"Observation","MC2 - McNary Washington Shore Ladder","10","01","WEIR 303","COUNTING WINDOW",120,NA
"Observation","PRA1 - Priest Rapids Adult West Ladder","07","05","RIGHT [WEST] LADDER WEIR 5","RIGHT [WEST] LADDER WEIR 3",110,NA
"Observation","RIA3 - Rock Island Adult Right Ladder","0B","0B","RIGHT LADDER BAFFLE 2","RIGHT LADDER BAFFLE 2",100,NA
"Observation","RRF - Rocky Reach Fishway","04","01","WEIR 4","WEIR 6",100,NA
"Observation","WEA2 - Wells Dam, DCPUD Right Adult Ladder","F3","06","RIGHT LADDER POOL 19","RIGHT LADDER POOL 68",140,NA
"Observation","BO2-BO3-BO4","BO3-18","BO4-01","BO3-WEIR 34","BO4-VERTICAL SLOT DETECTORS",100,NA
"Observation","WEA1 - Wells Dam, DCPUD Left Adult Ladder","F2","02","LEFT LADDER POOL 19","Left Ladder Pool 68",140,NA
"Observation","LMR - Lower Methow River at Pateros","A4","A4","UPSTREAM FULL-WIDTH ARRAY","UPSTREAM FULL-WIDTH ARRAY",110,NA
"Observation","DRM - Deschutes River mouth","09","04","Downstream Array","Upstream Array",100,NA
"Observation","ICH1 - Ice Harbor Dam North Ladder","10","0A","RIGHT LADDER WEIR 435 [S/O]","RIGHT LADDER WEIR 438 [S/O]",100,NA
"Observation","PRA2 - Priest Rapids Adult East Ladder","04","02","LEFT [EAST] LADDER WEIR 7","LEFT [EAST] LADDER WEIR 3",110,NA
"Observation","OKL - Lower Okanogan Instream Array","0B","0A","Downstream Array","Downstream Array",100,NA
"Observation","PRO - Prosser Diversion Dam Combined","04","03","MIDDLE LDR COUNTING WINDOW","MIDDLE LDR COUNTING WINDOW",110,NA
"Observation","LMA - Lower Monumental Adult Ladders","02","01","Left Ladder","Left Ladder",100,NA
"Observation","GOA - Little Goose Fish Ladder","02","01","Counting Window","Counting Window",100,NA
"Observation","LWE - Lower Wenatchee River","C1","C1","DOWNSTREAM ANTENNA ARRAY","DOWNSTREAM ANTENNA ARRAY",110,NA
"Observation","LLR - Lower Lemhi River","A6","A3","DOWNSTREAM ARRAY","UPSTREAM ARRAY",110,NA
"Observation","RCL - Rock Creek (WA) at rkm 5","A6","A2","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","RCS - Rock Creek (WA) at rkm 14","B5","B1","LOWER IN-STREAM ARRAY","UPPER IN-STREAM ARRAY",100,NA
"Observation","TMF - Three Mile Falls Dam Combined","41","41","Fish Ladder Entrance","Fish Ladder Entrance",110,NA
"Observation","MWC - Maxwell Canal","A2","B1","HEADGATE","DIVERSION SCREEN",120,NA
"Observation","HYC - Hayden Creek In-stream Array","A5","A6","DOWNSTREAM ARRAY","DOWNSTREAM ARRAY",120,NA
